Compound	Object ID	InChI-Key	SMILES
CPD-18609	CPD-18609	InChIKey=UEKNJOPNIRUJDK-AGFMWDODSA-M	C([R])CCCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCOP([O-])(=O)O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
CPD-22560	CPD-22560	InChIKey=TXTFWFIPNSYGGP-UHFFFAOYSA-K	C(OP([O-])(=O)[O-])C(C(O)(CO)C(=O)[O-])=O
CPD-7197	CPD-7197	InChIKey=QZOYIQGWDBXSHB-XLGKAWHDSA-N	CC([R])=C/C=C/C(\C)=C/C=C/C=C(C)/C=O
5-PHOSPHORIBOSYL-45-AMINOIMIDAZOLE	5-PHOSPHORIBOSYL-45-AMINOIMIDAZOLE	InChIKey=PKXUUULOGWWIMV-UHFFFAOYSA-M	C2(\N(C1(C(C(C(O1)COP(=O)([O-])[O-])O)O))C(/N)=C(N)/[NH+]=2)
CPD-18611	CPD-18611	InChIKey=LXDJRQFFCIMYRI-WRJVRHADSA-M	C([R])CCCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCOP([O-])(=O)O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
CPD-1114	CPD-1114	InChIKey=QXKAIJAYHKCRRA-JJYYJPOSSA-M	C(=O)([O-])[C@@H](O)[C@H](O)[C@H](O)CO
CPD-7198	CPD-7198	InChIKey=DTXLMVIHOKFQAR-KJJRRPHQSA-N	CC([R])=C/C=C/C(\C)=C/C=C/C=C(C)/C=O
CPD-566	CPD-566	InChIKey=ZRBMNUPECIGKKJ-UHFFFAOYSA-O	C(CCCNC(C1(\C=C/C=C\C=1))=O)NC(N)=[NH2+]
CPD-18608	CPD-18608	InChIKey=VRRCSSDFDKJMMB-MMDAAWKASA-M	C([R])CCCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCOP([O-])(=O)O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
CPD-9082	CPD-9082	InChIKey=DBOLXXRVIFGDTI-UHFFFAOYSA-N	C2(\C=C(CC1(\C=C/C=C\C=1))/C=C\N=2)
CPD1F-119	CPD1F-119	InChIKey=KBPHJBAIARWVSC-RGZFRNHPSA-N	CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)C[C@@H](O)\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@H](O)CC(/C)=2)
CPD-14323	CPD-14323	InChIKey=YNGCGCMGWQFYIK-UHFFFAOYSA-M	C4(O)(NC5(\C(/C(C3(\C=C(C1(\C2(/C=C\C=C/C(/N/C=1)=2)))/NC(\C([O-])=O)=3))=4)=C/C=C\C=5))
CPD-18610	CPD-18610	InChIKey=PAXRZAOQQDPEPJ-MKOUXDNLSA-M	C([R])CCCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCOP([O-])(=O)O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
CPD0-1809	CPD0-1809	InChIKey=QFABSLRCNMGQBZ-UHFFFAOYSA-N	CCCCCCCCSCC(CO)SCCCCCCCC
CPD-20423	CPD-20423	InChIKey=JLZLUWUJOFLXHE-ZNQVSPAOSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](C(O)(O)C(/C)=2)O)
CPD-16892	CPD-16892	InChIKey=BLFRQYKZFKYQLO-UHFFFAOYSA-O	C(O)CCC[NH3+]
CPD-19967	CPD-19967	InChIKey=UXLGLNOCNZOWAN-ZSVNYSRVSA-M	O[R]
ETHANAMINE	ETHANAMINE	InChIKey=QUSNBJAOOMFDIB-UHFFFAOYSA-O	CC[NH3+]
CPD-7420	CPD-7420	InChIKey=NDQJOTBVTPZBKX-RXFXLGIUSA-N	CC(C)=CCCC(\C)=C/CCC(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1(/[C@@](CC(CC(/C)=1)O)(C)C)
CPD-19492	CPD-19492	InChIKey=OUGLPIHDPBRSID-UHFFFAOYSA-L	CCC(C([O-])=O)C(C(=O)[O-])=O
BETA-D-MANNOSYLPHOSPHODECAPRENOL	BETA-D-MANNOSYLPHOSPHODECAPRENOL	InChIKey=IZYKMCBAFWNSLO-YOQBOTJHSA-M	CC(C)=CCCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
TAXA-42011-DIEN-5A13A-DIOL	TAXA-42011-DIEN-5A13A-DIOL	InChIKey=VTDWDDILICLAEK-RDGCENLJSA-N	CC2(\[C@H](C[C@H]1(C[C@@H]3(C([C@H](CC[C@@](C)(CCC(\C(C)(C)1)=2)3)O)=C)))O)
CPD-16861	CPD-16861	InChIKey=AVHQKPCIRVFOIC-MRLRKSOKSA-N	CC(/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(OC)(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\C=C\C(O)C(OC)(C)C
CPD-22404	CPD-22404	InChIKey=LOBPOQGOQGYAHI-DPFHVQFFSA-L	CCCCCCCCC[C@H](CC(N[C@@H]1([C@H]([C@@H]([C@H](O[C@@H]1OP([O-])(=O)[O-])CO)O)OC(C[C@@H](CCCCCCC)O)=O))=O)O
CPD-14212	CPD-14212	InChIKey=XUFIWSHGXVLULG-BSBKYKEKSA-S	C1([C@@H]([NH3+])C(O[R])[C@@H](O)C(O[R])[C@@H](N)1)
5-HYDROXYPENTANOATE	5-HYDROXYPENTANOATE	InChIKey=PHOJOSOUIAQEDH-UHFFFAOYSA-M	C(CCO)CC(=O)[O-]
CPD-7413	CPD-7413	InChIKey=DKHPMPVMENETGL-HMCJAKSJSA-N	CC(C)=CCCC(\C)=C/C=C/C(\C)=C/C=C/C(\C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H]1(C(/C)=C/C(C[C@@](C)(C)1)O)
CPD-10835	CPD-10835	InChIKey=CBCKQZAAMUWICA-UHFFFAOYSA-N	C1(/C=C(\C=C/C(/N)=1)/N)
EPOXYOCTA-CPD	EPOXYOCTA-CPD	InChIKey=ZFVKKBAQVWQQHP-ALADIWIOSA-M	C([R])([O-])=O
CPD-547	CPD-547	InChIKey=NPOAOTPXWNWTSH-UHFFFAOYSA-L	CC(CC([O-])=O)(CC([O-])=O)O
CPD-14851	CPD-14851	InChIKey=ODGGKCNQKSEQNL-CWBMHJDKSA-N	CC(/C=C/C=C(C)/C=C/[C@H]1(C(/C)=C/[C@H](O)CC(C)(C)1))=C\C=C\C=C(C)\C=C\C=C(/C=C/C2(/C(C)(C)C[C@H](O)CC(/C)=2))/CO
CPD-9015	CPD-9015	InChIKey=PYMHUTZITGQKAY-RYUDHWBXSA-L	C(NC1(\C=C/C(/C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])=C\C=1))[C@H]2(CNC3(NC(/O)=N\C(=O)C(N2)=3))
CPD-20538	CPD-20538	InChIKey=DXOYQVHGIODESM-KROJNAHFSA-M	C([R])([O-])=O
CPD-14155	CPD-14155	InChIKey=GLTSSBZZNLCFQJ-HKEUSBCWSA-Q	C(=O)[C@@H]1([C@@H](O)[C@H](O)[C@@H]([NH3+])[C@H](O1)O[C@@H]2([C@@H]([NH3+])C[C@H]([C@@H]([C@H]2O)O)[NH3+]))
CPD-7196	CPD-7196	InChIKey=SZCBXWMUOPQSOX-NLNQYMAJSA-N	CC(/C=C/C=C(C)\C=C\[C@]12(C(C)(C)C[C@H](O)C[C@](O1)(C)2))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@]34(C(C)(C)C[C@H](O)C[C@](O3)(C)4)
CPD0-1700	CPD0-1700	InChIKey=XDEFUBWPXAOAME-OWOJBTEDSA-N	C(N)/C=C/CC(N)C(=O)O
CPD-13636	CPD-13636	InChIKey=FBUKMFOXMZRGRB-YFHOEESVSA-M	C([R])([O-])=O
CPD-16728	CPD-16728	InChIKey=XIVVIYYWXOMYOD-UHFFFAOYSA-L	C1(C(C(=O)[O-])\N=C(C(=O)[O-])/CS1)
CPD1F-135	CPD1F-135	InChIKey=PGYAYSRVSAJXTE-CLONMANBSA-N	CC(/C=C/C=C(C)/C=C=C1([C@@](O)(C)C[C@@H](O)CC(C)(C)1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@]23(C(C)(C)C[C@H](O)C[C@@](C)(O2)3)
E-nithiazine	E-nithiazine	InChIKey=SACOUNYCLOIUNQ-UHFFFAOYSA-N	C1(CCNC(/S1)=[NH+]\C([O-])=O)
CPD-14209	CPD-14209	InChIKey=BRZYSWJRSDMWLG-CAXSIQPQSA-R	CC(O)[C@@H]3([C@@H](O)[C@H](O)[C@@H]([NH3+])[C@@H](O[C@@H]2([C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]1(OC[C@@](O)(C)[C@H]([NH2+]C)[C@@H](O)1))[C@@H](O)2))O3)
CPD-19437	CPD-19437	InChIKey=QSZYHDFXRRMLLX-ARLBYUKCSA-N	COC4(/C=C3([C@@H]2([C@H](O)[C@@H](O)\C=C1(CCN([C@H]12)CC/3=C/C(/O)=4))))
CPD-20698	CPD-20698	InChIKey=XSUSXVIQADSAIA-OSUNZLPHSA-N	CC(/C=C/C=C(C)/C=C=C1([C@@](O)(C)C[C@@H](O)CC(C)(C)1))=C\C=C\C=C(C)\C=C\C=C(C)\CC[C@]23(C(C)(C)C[C@H](O)C[C@@](C)(O2)3)
SORBYL-COA	SORBYL-COA	InChIKey=OUDBPEVXTMAWSG-VUJIAKIYSA-J	C/C=C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-18563	CPD-18563	InChIKey=SJZUAPDAKBPNQS-JSMKFMQKSA-M	C([R])([O-])=O
CPD-22267	CPD-22267	InChIKey=KWVISVAMQJWJSZ-INULWVDGSA-N	C[C@H]6(CC[C@@]1(O[C@@H]5([C@H]([C@H](C)1)[C@]4(C)([C@H]([C@H]3([C@@H]([C@]2(C)(C(/C[C@@H](O)CC2)=C/C3))CC4))C5)))(NC6))
CPD1F-130	CPD1F-130	InChIKey=JKQXZKUSFCKOGQ-QAYBQHTQSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O)
5-AMINO-4-CHLORO-2-2-HYDROXYMUCONOYL-3	5-AMINO-4-CHLORO-2-2-HYDROXYMUCONOYL-3	InChIKey=RXGRVLKXOCEHND-HTNNJDHISA-L	C(/C=C(C(=O)N1(\N=C/C(/N)=C(C(=O)1)/Cl))\[O-])=C\C(=O)[O-]
CPD-18585	CPD-18585	InChIKey=UAJVWJCTKBKSGZ-QJCLFNHPSA-M	C([R])([O-])=O
CPD-10779	CPD-10779	InChIKey=JCJLQKRSCGYNPF-GXTWGEPZSA-O	CCCCSC[C@@H]1([C@@H](C)C[NH+](C1)CC2(\C3(\N=C/N=C(C(/N\C=2)=3)/N)))
CPD-20679	CPD-20679	InChIKey=SJWWTRQNNRNTPU-ABBNZJFMSA-N	CC(/C=C/C=C(C)/C=C=C1([C@](C)(O)C[C@@H](OC(=O)C)CC(C)(C)1))=C\C=C\C=C(C)\C=C\C=C(C)\C(=O)C[C@]23(C(C)(C)C[C@H](O)C[C@@](C)(O2)3)
CPD-521	CPD-521	InChIKey=MAIRDOOJJIGWBJ-UHFFFAOYSA-M	COC(=O)CC(=O)C(=O)[O-]
CPD-18595	CPD-18595	InChIKey=VTRDVUCVCDPGAI-CQJMVLFOSA-M	C([R])([O-])=O
CPD-8918	CPD-8918	InChIKey=UPVPJQNTGLTBPC-VFMSDNQISA-O	C/C=C(C)/C(O[C@H]4(CC3(C1(CC(C2(CCCC(N(C1)2)=O))C[NH+]3CC4))))=O
CPD-7421	CPD-7421	InChIKey=ORAKUVXRZWMARG-UDSJNADVSA-N	CC(/C=C/C=C(C)/C=C/C1(/[C@](C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2([C@@](C)(C)C[C@@H](\C=C(C)/2)O)
CPD-14102	CPD-14102	InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N	C(O)C1(\O\C=C/C=1)
GENTAMICIN-C	GENTAMICIN-C		C[C@]3(O)(CO[C@@H](O[C@H]2([C@H]([NH3+])C[C@H]([NH3+])[C@@H](O[C@@H]1(O[C@@H](CC[C@@H]([NH3+])1)C([R1])[NH2+][R2]))[C@H](O)2))[C@H](O)[C@@H]([NH2+]C)3)
CPD0-1662	CPD0-1662	InChIKey=ZAJPVQSJWGQONE-UHFFFAOYSA-N	C(NC(N)=N)CCC(CF)(N)C(=O)O
CPD-16862	CPD-16862	InChIKey=XUYXCIAFJRLHMN-GWSMOWMWSA-N	CC(/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(OC)(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\C=C\C(O)(O)C(OC)(C)C
CPD-16546	CPD-16546	InChIKey=YBPAYPRLUDCSEY-UHFFFAOYSA-N	C(=O)(N)CC1(\C=C/C(/O)=C\C=1)
CPD-18594	CPD-18594	InChIKey=HCTBUGXAFRDFOG-WVPQRUSMSA-M	C([R])([O-])=O
DIMYRISTOYLPHOSPHATIDYLCHOLINE	DIMYRISTOYLPHOSPHATIDYLCHOLINE	InChIKey=CITHEXJVPOWHKC-UUWRZZSWSA-N	CCCCCCCCCCCCCC(=O)OC[C@@H](OC(CCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)(=O)[O-]
CPD-7415	CPD-7415	InChIKey=OYMLZZKQOAPEGO-DDNVNVBGSA-N	CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)CC\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@H]2(C(/C)=C/[C@@H](CC(C)(C)2)O)
CPD-19408	CPD-19408	InChIKey=XFDVSYHDHRDPLP-WJPDYIDTSA-L	COC(=O)/C=C/C(/C([O-])=O)=C(C([O-])=O)\O
CPD-18667	CPD-18667	InChIKey=IZJUQXNJWRBIIE-VBBCARBSSA-M	C([R])([O-])=O
SALICYLAMIDE	SALICYLAMIDE	InChIKey=SKZKKFZAGNVIMN-UHFFFAOYSA-N	C1(\C=C/C(/O)=C(\C=1)/C(=O)N)
CPD-15032	CPD-15032	InChIKey=PKHJWTKRKQNNJE-RJLXQHJHSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)[C@@H](O)[C@@H](CC(/C)=2)O)
CPD-22120	CPD-22120	InChIKey=GAIPQMSJLNWRGC-MZAVDHTQSA-M	CC[C@@H]2([C@H](/C=C/[C@](O)(CC[NH3+])[C@H](OP(=O)([O-])[O-])C[C@@H](O)\C=C/C=C\C1(CCCCC1))OC(=O)\C=C/2)
CPD-18583	CPD-18583	InChIKey=CHPNWWIYWJBRKU-GSDHBNRESA-M	C([R])([O-])=O
4-OXOPROLINE	4-OXOPROLINE	InChIKey=HFXAFXVXPMUQCQ-UHFFFAOYSA-M	C1(NC(CC(=O)1)C(=O)[O-])
CPD-7409	CPD-7409	InChIKey=DMASLKHVQRHNES-FKKUPVFPSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O)
CPD-10715	CPD-10715	InChIKey=IUXWAZGWWPVPQY-UHFFFAOYSA-N	C(#N)C(C#N)NNC1(\C=C/C(/OC(F)(F)F)=C\C=1)
CPD-14206	CPD-14206	InChIKey=LKKVGKXCMYHKSL-QVNYEEQUSA-R	[C@@H]3(O[C@@H]2([C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]1(OC[C@@H](O)[C@H]([NH2+]C)[C@@H](O)1))[C@@H](O)2))(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]([NH3+])3)
CPD-4863	CPD-4863	InChIKey=VWRMUTKBDQWLAX-BYPYZUCNSA-M	CC(C)[C@H](N(O)O)C([O-])=O
CPD-13714	CPD-13714	InChIKey=FOHPEEJTFCJHNI-FIKDCGPASA-N	CC(/C=C/C=C(C)/C=C/C=C(C)/CCCC(O)(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\CCCC(O)(C)C
CPD-8827	CPD-8827	InChIKey=YJYHEBUTQYISNJ-UHFFFAOYSA-L	C(C(Cl)C(CCC([O-])=O)=O)([O-])=O
PROPIONYL_ADENYLATE	PROPIONYL_ADENYLATE	InChIKey=ZGNGGJLVZZHLQM-ZRFIDHNTSA-M	C([R])([O-])=O
CPD-14016	CPD-14016	InChIKey=LFYXNXGVLGKVCJ-UHFFFAOYSA-N	CC1(C)(C2(CCC(C)1C(C)(O)C2))
CPD1F-4	CPD1F-4	InChIKey=MFDUGTOOXGORRX-ORGLZDQCSA-N	CC(/C=C/C=C(C)/C=C=C1([C@@](O)(C)CC(O)CC(C)(C)1))=C\C=C\C=C(C)\C=O
CPD-8823	CPD-8823	InChIKey=SIYDUPATYRMKPW-SFYZADRCSA-N	CCC1(\C=C/[C@@H](O)[C@@H](O)\C=1)
ACETYL_AMP	ACETYL_AMP	InChIKey=UBPVOHPZRZIJHM-WOUKDFQISA-M	C([R])([O-])=O
CPD-14000	CPD-14000	InChIKey=HRVZNWRZLYDLBU-RMKNXTFCSA-N	C=CC(CC/C=C(C)/C=O)(O)C
CPD-20825	CPD-20825	InChIKey=JKQXZKUSFCKOGQ-YOPUJPICSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](CC(/C)=2)O)
CPD0-1616	CPD0-1616	InChIKey=IFCCPDAHQDGHMH-UHFFFAOYSA-N	C1(C(=O)O)(C(C(=O)O)N1)
CPD-18568	CPD-18568	InChIKey=SZBIWBPFMWQSAU-KCHLEUMXSA-M	C([R])([O-])=O
CPD-16010	CPD-16010	InChIKey=VDXZNPDIRNWWCW-JFTDCZMZSA-T	CC[C@@H]([C@H](NC(C[NH3+])=O)C(NCC(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC(N[C@H](C(N3([C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N)=O)CCC(N)=O)=O)CCC(N)=O)=O)CCCNC(N)=[NH2+])=O)CCCC[NH3+])=O)CCCNC(N)=[NH2+])=O)CCCC[NH3+])=O)[C@H](CC)C)=O)CC1(\C2(\C(\N\C=1)=C/C=C\C=2)))=O)CO)=O)[C@H](CC)C)=O)CC(C)C)=O)C)=O)CCC3))=O)CC(C)C)=O)=O)[C@H](O)C)=O)[C@H](O)C)=O)CC(C)C)=O)C(C)C)=O)CCCC[NH3+])=O)CC(C)C)=O)C(C)C)=O)C)=O)=O)C
CPD1F-131	CPD1F-131	InChIKey=OFNSUWBAQRCHAV-OYQUVCAXSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@H](O)CC(/C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@]23(C(C)(C)C[C@H](O)C[C@](O2)(C)3)
DIHYDROLIPOAMIDE	DIHYDROLIPOAMIDE	InChIKey=VLYUGYAKYZETRF-SSDOTTSWSA-N	C(CCC(N)=O)C[C@@H](S)CCS
CPD-15229	CPD-15229	InChIKey=KJWHNKZLQYVMOX-SBBYWOSISA-Q	C[C@]3(O)(CO[C@H](O[C@@H]2([C@@H](O)[C@H](O[C@H]1(O[C@H](C[NH3+])[C@@H](O)[C@H](OP([O-])(=O)[O-])[C@@H]([NH3+])1))[C@@H]([NH3+])C[C@@H]([NH3+])2))[C@H](O)[C@@H]([NH2+]C)3)
CPD-19322	CPD-19322	InChIKey=FOLRHKGIPNQAMU-YCRPVLELSA-M	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP([O-])(=O)O[C@H]1([C@@H]([C@H]([C@H]([C@H](O1)C)[NH3+])O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))NC(C)=O)
CPD-20680	CPD-20680	InChIKey=OGHZCSINIMWCSB-GHIQLMQGSA-N	CC(/C=C/C=C(C)/C#CC1(C(C)(C)C[C@H](O)CC(C)=1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@]23(C(C)(C)C[C@H](O)C[C@@](C)(O2)3)
S-5-HYDROXY-2-FUROYL-COA	S-5-HYDROXY-2-FUROYL-COA	InChIKey=IDJHMFITFRNMIE-CITAKDKDSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C1(\OC(/O)=C/C=1))=O)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
CPD-18708	CPD-18708	InChIKey=SPDPRVWYMSZLCQ-XPTSESCDSA-M	C([R])([O-])=O
CPD-21920	CPD-21920	InChIKey=ZMDNPAXGEYVRDA-WVQPDWTRSA-M	C[C@@H](CC[C@H](OC)C1(\C(\Br)=C/C=C(\C=1)/O))[C@@H](OC(C[C@H]([C@H](O)C)O)=O)[C@@H](C)C(=O)[O-]
CPD-7854	CPD-7854	InChIKey=PNLSIRAIRUYUEO-DKLMTRRASA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C/C=C(C(/C)=1)/O)(C)C))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C/C=C(C(/C)=2)/O)(C)C)
4-ETHYLBENZYL-ALCOHOL	4-ETHYLBENZYL-ALCOHOL	InChIKey=YSLBFFIVJGJBSA-UHFFFAOYSA-N	CCC1(\C=C/C(/CO)=C\C=1)
CPD-20537	CPD-20537	InChIKey=JBSCUHKPLGKXKH-ILYOTBPNSA-M	C([R])([O-])=O
CPD-10641	CPD-10641	InChIKey=VCACEESBWIUFFZ-SNAWJCMRSA-N	C(=O)(O)CC(=O)C(/Cl)=C(C(=O)O)\Cl
CPD-20422	CPD-20422	InChIKey=RNQDFWZVKBSPOZ-NBDHXNPCSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)C[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)C[C@@H](C(O)C(/C)=2)O)
CPD-4586	CPD-4586	InChIKey=WUSMTEDKVPWFDN-BWKAKNAASA-N	C1(\C=C(C2(\C(C3(/C(/O)=C\C4(\O[C@H]5(OCC[C@@H](C(/C(/OC(/C=1)=2)=3)=4)5))))=O))\O)
CPD-20540	CPD-20540	InChIKey=VBQNSZQZRAGRIX-QNEBEIHSSA-M	C([R])([O-])=O
CPD-8683	CPD-8683	InChIKey=KUSHOISAFGTTRU-YFHOEESVSA-M	CCCCC\C=C/CC(C(CCCCCCCC([O-])=O)O)=O
CPD-7416	CPD-7416	InChIKey=BIPAHAFBQLWRMC-SUOWZELTSA-N	CC(/C=C/C=C(C)/C=C/[C@@H]1(C(C)(C)C[C@@H](O)\C=C(C)/1))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@H]2(C(C)(C)C[C@@H](O)\C=C(C)/2)
CPD-13906	CPD-13906	InChIKey=NWTNTOJHVFLUPZ-UHFFFAOYSA-N	C=CC1(\C[NH2+]C(C([O-])=O)\C=1)
CPD-14216	CPD-14216	InChIKey=VEGXETMJINRLTH-BOZYPMBZSA-S	C[C@]3(O)(CO[C@H](O[C@@H]2([C@@H](O)[C@H](O[C@H]1(O[C@H](C[NH3+])CC[C@@H]([NH3+])1))[C@@H]([NH3+])C[C@@H]([NH3+])2))[C@H](O)[C@@H]([NH2+]C)3)
CPD0-1585	CPD0-1585	InChIKey=HVKMGDGEKJADAB-UHFFFAOYSA-N	CCC2(/N=C(N)\N=C(C(/OCCCOC1(\C(\C(F)(F)F)=C/C=C\C=1))=2)\N)
CPD-15033	CPD-15033	InChIKey=JVPASJUYZJKFHY-HWFHZMFDSA-N	CC(/C=C/C=C(C)/C=C/C1(/C(C)(C)[C@@H](O)[C@@H](CC(/C)=1)O))=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2(\C(C)(C)[C@@H](O)[C@@H](CC(/C)=2)O)
CPD-15919	CPD-15919	InChIKey=RPDIIOSMVGHNKJ-UHFFFAOYSA-N	C=CC(CC(=O)C=C(C)C)=C
CPD-8681	CPD-8681	InChIKey=LVVCDOSOKGYQFY-XCRWTIQCSA-M	C([R])([O-])=O
DICHLOROBIS-CPD	DICHLOROBIS-CPD	InChIKey=UCNVFOCBFJOQAL-UHFFFAOYSA-N	C(=C(C1(\C=C/C(/Cl)=C\C=1))C2(\C=C/C(/Cl)=C\C=2))(Cl)Cl
CPD-7410	CPD-7410	InChIKey=QAILMWKAKHIIHL-CRBKEJBVSA-N	CC(/C=C/C=C(C)/C=C/C([C@@]1(C)(C(C)(C)C[C@H](O)C1))=O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@]23(O[C@](C)(C[C@@H](O)CC(C)(C)2)3)
CPD-19232	CPD-19232	InChIKey=WQOXQRCZOLPYPM-UHFFFAOYSA-N	CSSC
CPD-2021	CPD-2021	InChIKey=CZRJNVJQSPMQTQ-UKGUQDEXSA-M	C([R])([O-])=O
R-1-AMINOPROPAN-2-YL-PHOSPHATE	R-1-AMINOPROPAN-2-YL-PHOSPHATE	InChIKey=YBOLZUJJGUZUDC-GSVOUGTGSA-M	C[C@H](C[NH3+])OP(=O)([O-])[O-]
CPD-14386	CPD-14386	InChIKey=AULCUSCIZQQSMU-WDJSDFAOSA-N	CC(/C=C/C1(/C(C)(C)CCCC(/C)=1))=C\C=C\C(/C)=C\C2(OC2/C=C(C)/C=C/C=C(C)/C=C/C3(/C(C)(C)CCCC(/C)=3))
CPD-21807	CPD-21807	InChIKey=ROROIGVKZSMGBC-ITYHFVEESA-N	CC(/C=C(C)/C[C@@H](O)C1(\OC(OC)=C(C)C(C(/C)=1)=O))=C\C2(\C=C/C(/[N+](=O)[O-])=C\C=2)
CPD-19480	CPD-19480	InChIKey=BDWTWLBLUBGINP-HJWRWDBZSA-L	CSCCCCCCC(\C(=O)[O-])=C\C([O-])=O
34-DIMETHYLBENZYL-ALCOHOL	34-DIMETHYLBENZYL-ALCOHOL	InChIKey=OKGZCXPDJKKZAP-UHFFFAOYSA-N	CC1(\C(/C)=C/C(/CO)=C\C=1)
